"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Included / [Primary]","Included / International","Status","product.metafields.custom.quote"
"teddy-on-star-bench-with-flower","Teddy On Star Bench With Flower","Hand-made resin creation: Teddy On Star Bench With Flower.","Alison Resin Creations (ARC)","Resin Art","Bench, Flower, Star, Teddy","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/teddy-on-star-bench-with-flower.jpg","1","Teddy On Star Bench With Flower","FALSE","Teddy On Star Bench With Flower","Discover the Teddy On Star Bench With Flower from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"teddy-s-with-crystals","Teddy's With Crystals","Hand-made resin creation: Teddy's With Crystals.","Alison Resin Creations (ARC)","Resin Art","Blue, Crystals, Pink, Teddy's","TRUE","Color","Blue",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/teddy%27s-with-crystals-blue.jpg","1","Teddy's With Crystals - Blue","FALSE","Teddy's With Crystals","Discover the Teddy's With Crystals from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"teddy-s-with-crystals","Teddy's With Crystals","Hand-made resin creation: Teddy's With Crystals.","Alison Resin Creations (ARC)","Resin Art","Blue, Crystals, Pink, Teddy's","TRUE","Color","Pink",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/teddy%27s-with-crystals-pink.jpg","2","Teddy's With Crystals - Pink","FALSE","Teddy's With Crystals","Discover the Teddy's With Crystals from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"tents-with-candel","Tents With Candel","Hand-made resin creation: Tents With Candel.","Alison Resin Creations (ARC)","Resin Art","Candel, Light Blue, Light Pink, Light Yellow, Tents","TRUE","Color","Light Blue",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/tents-with-candel-light-blue.jpg","1","Tents With Candel - Light Blue","FALSE","Tents With Candel","Discover the Tents With Candel from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"tents-with-candel","Tents With Candel","Hand-made resin creation: Tents With Candel.","Alison Resin Creations (ARC)","Resin Art","Candel, Light Blue, Light Pink, Light Yellow, Tents","TRUE","Color","Light Pink",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/tents-with-candel-light-pink.jpg","2","Tents With Candel - Light Pink","FALSE","Tents With Candel","Discover the Tents With Candel from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"tents-with-candel","Tents With Candel","Hand-made resin creation: Tents With Candel.","Alison Resin Creations (ARC)","Resin Art","Candel, Light Blue, Light Pink, Light Yellow, Tents","TRUE","Color","Light Yellow",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/tents-with-candel-light-yellow.jpg","3","Tents With Candel - Light Yellow","FALSE","Tents With Candel","Discover the Tents With Candel from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"unicorn-tedd-set","Unicorn Tedd Set","Hand-made resin creation: Unicorn Tedd Set.","Alison Resin Creations (ARC)","Resin Art","Set, Tedd, Unicorn","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/unicorn-tedd-set.jpg","1","Unicorn Tedd Set","FALSE","Unicorn Tedd Set","Discover the Unicorn Tedd Set from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"unicorn-teddy-star-set","Unicorn Teddy Star Set","Hand-made resin creation: Unicorn Teddy Star Set.","Alison Resin Creations (ARC)","Resin Art","Set, Star, Teddy, Unicorn","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/unicorn-teddy-star-set.jpg","1","Unicorn Teddy Star Set","FALSE","Unicorn Teddy Star Set","Discover the Unicorn Teddy Star Set from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"whiteb-hanging-xmas-trees","Whiteb Hanging Xmas Trees","Hand-made resin creation: Whiteb Hanging Xmas Trees.","Alison Resin Creations (ARC)","Resin Art","Hanging, Trees, Whiteb, Xmas","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/whiteb-hanging-xmas-trees.jpg","1","Whiteb Hanging Xmas Trees","FALSE","Whiteb Hanging Xmas Trees","Discover the Whiteb Hanging Xmas Trees from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
"wooden-house-scene-1","Wooden House Scene 1","Hand-made resin creation: Wooden House Scene 1.","Alison Resin Creations (ARC)","Resin Art","1, House, Scene, Wooden","TRUE","Title","Default Title",,,,,,"0",,"0","deny","manual","0.00",,"TRUE","TRUE",,"https://raw.githubusercontent.com/BanterBoy/alisoncreations/feat/arc-initial-site/resources/images/wooden-house-scene-1.jpg","1","Wooden House Scene 1","FALSE","Wooden House Scene 1","Discover the Wooden House Scene 1 from Alison Resin Creations (ARC).",,,,,,,,,,,,,,,"g",,"0.00","TRUE","TRUE","draft",
