"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","BaseName","ResolvedTarget","Target","LinkType","Name","Parent","Root","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\big-light-up-house-scene.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","big-light-up-house-scene.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","big-light-up-house-scene","C:\GitRepos\alisoncreations\resources\images\big-light-up-house-scene.jpg",,,"big-light-up-house-scene.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\big-light-up-house-scene.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:09:26","15/06/2025 13:09:26",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\birds-in-house-white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","birds-in-house-white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","birds-in-house-white","C:\GitRepos\alisoncreations\resources\images\birds-in-house-white.jpg",,,"birds-in-house-white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\birds-in-house-white.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:08:56","15/06/2025 13:08:56",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\birds-on-branch-.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","birds-on-branch-.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","birds-on-branch-","C:\GitRepos\alisoncreations\resources\images\birds-on-branch-.jpg",,,"birds-on-branch-.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\birds-on-branch-.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","01/06/2025 17:10:12","01/06/2025 16:10:12",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\birds-white-in-circle.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","birds-white-in-circle.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","birds-white-in-circle","C:\GitRepos\alisoncreations\resources\images\birds-white-in-circle.jpg",,,"birds-white-in-circle.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\birds-white-in-circle.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:08:10","15/06/2025 13:08:10",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\blue-frog-(2).jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","blue-frog-(2).jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","blue-frog-(2)","C:\GitRepos\alisoncreations\resources\images\blue-frog-(2).jpg",,,"blue-frog-(2).jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\blue-frog-(2).jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:08:56","15/06/2025 13:08:56",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\blue-frog.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","blue-frog.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","blue-frog","C:\GitRepos\alisoncreations\resources\images\blue-frog.jpg",,,"blue-frog.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\blue-frog.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:08:59","15/06/2025 13:08:59",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\boat-with-flower-anchor-gold-rope.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","boat-with-flower-anchor-gold-rope.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","boat-with-flower-anchor-gold-rope","C:\GitRepos\alisoncreations\resources\images\boat-with-flower-anchor-gold-rope.jpg",,,"boat-with-flower-anchor-gold-rope.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\boat-with-flower-anchor-gold-rope.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\boat-with-flower-anchor-white.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","boat-with-flower-anchor-white.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","boat-with-flower-anchor-white","C:\GitRepos\alisoncreations\resources\images\boat-with-flower-anchor-white.jpg",,,"boat-with-flower-anchor-white.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\boat-with-flower-anchor-white.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","08/06/2025 11:41:07","08/06/2025 10:41:07",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\brown-butterfly.jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","brown-butterfly.jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","brown-butterfly","C:\GitRepos\alisoncreations\resources\images\brown-butterfly.jpg",,,"brown-butterfly.jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\brown-butterfly.jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:12:11","04/10/2025 23:12:11","15/06/2025 14:08:13","15/06/2025 13:08:13",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 2 (2).jpg","Microsoft.PowerShell.Core\FileSystem::C:\GitRepos\alisoncreations\resources\images","Butterfly white quote 2 (2).jpg","C","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","Butterfly white quote 2 (2)","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 2 (2).jpg",,,"Butterfly white quote 2 (2).jpg",,,"True","C:\GitRepos\alisoncreations\resources\images\Butterfly white quote 2 (2).jpg",".jpg","19/09/2025 13:15:13","19/09/2025 12:15:13","05/10/2025 00:11:43","04/10/2025 23:11:43","15/06/2025 14:08:52","15/06/2025 13:08:52",,"-1","Archive"
